---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Kepler_1368,Kepler-1368,1635.82,294.767,41.6446,,5906,1.08,1.07,0.05077,1
Kepler_1592,Kepler-1592,1639.47,293.851,38.3977,,6213,1.28,1.18,0.50716,1
Kepler_228,Kepler-228,1644.61,296.286,48.2246,,6043,1.014,1.006,0.11115,3
Kepler_945,Kepler-945,1651.25,291.27,42.096,,5718,0.97,0.97,0.02447,1
Kepler_1147,Kepler-1147,1657.36,292.547,41.6429,,5941,1.14,1.09,0.23534,1
Kepler_1875,Kepler-1875,1660.45,296.773,50.1884,,6161,0.862,0.95,0.4066,1
Kepler_1411,Kepler-1411,1660.48,286.362,42.9639,,5664,0.92,0.95,0.04081,1
Kepler_850,Kepler-850,1661.28,293.084,48.5754,,5932,1.09,1.06,0.17325,1
Kepler_741,Kepler-741,1661.87,289.432,46.6175,,6129,1.24,1.16,0.33161,1
Kepler_1762,Kepler-1762,1663.74,290.493,39.7855,,6572,1.238,1.298,0.33126,1
Kepler_31,Kepler-31,1664.64,294.023,45.8531,,6340,1.22,1.21,0.30134,3
Kepler_690,Kepler-690,1665.31,294.49,39.7715,,5913,1.16,1.11,0.14056,1
Kepler_1708,Kepler-1708,1666.69,296.824,43.6248,,6157,1.117,1.088,0.182,1
Kepler_1112,Kepler-1112,1671.28,296.969,47.7515,,6496,1.54,1.34,0.54224,1
KIC_10001893,KIC 10001893,1672.94,287.389,46.9844,,27500,0.18,0.47,1.43069,3
Kepler_1463,Kepler-1463,1687.47,294.487,42.0069,,5679,0.95,0.96,0.09195,1
Kepler_832,Kepler-832,1688.12,295.926,45.3839,,5596,0.9,0.92,0.07025,1
Kepler_657,Kepler-657,1691.88,291.197,47.3078,,5808,1.01,1.01,0.27898,1
Kepler_1847,Kepler-1847,1693.86,296.601,44.3252,,6122,0.964,1.041,0.09941,1
Kepler_1510,Kepler-1510,1696.25,298.959,48.2578,,6200,1.28,1.19,0.37703,1
Kepler_1426,Kepler-1426,1697.81,292.546,49.4169,,5831,1.02,1.02,0.0355,1
Kepler_295,Kepler-295,1699.19,285.346,45.3678,,5603,0.898,0.89,0.62949,3
Kepler_1373,Kepler-1373,1699.46,285.752,39.2492,,6299,1.33,1.22,0.77358,1
Kepler_748,Kepler-748,1705.99,292.263,37.237,,5934,1.1,1.07,0.36017,1
Kepler_1980,Kepler-1980,1709.4,295.167,38.637,,5819,0.99,1.049,0.22397,1
Kepler_890,Kepler-890,1712.12,288.436,43.7635,,5954,1.13,1.09,0.32651,1
Kepler_1188,Kepler-1188,1717.48,283.104,43.148,,5913,1.06,1.04,0.39786,1
Kepler_1330,Kepler-1330,1720.48,290.577,39.9569,,5608,0.94,0.97,0.42575,1
Kepler_947,Kepler-947,1730.78,294.367,42.2526,,5508,0.87,0.9,0.14245,1
Kepler_684,Kepler-684,1731.27,290.87,38.2736,,5493,0.86,0.89,0.20867,1
Kepler_1896,Kepler-1896,1732.91,289.679,40.2496,,6122,0.996,1.07,0.17382,1
Kepler_234,Kepler-234,1733.1,291.654,38.4947,,6224,1.113,1.129,0.23955,2
Kepler_1260,Kepler-1260,1734.43,295.591,42.5552,,5961,1.08,1.06,0.52565,1
CoRoT_14,CoRoT-14,1744.6,103.424,-5.53604,F9 V,6035,1.21,1.13,0.11884,1
Kepler_281,Kepler-281,1745.45,294.108,44.7707,,5723,0.899,0.95,0.14638,3
Kepler_493,Kepler-493,1745.77,295.308,38.8816,,6457,1.54,1.36,0.43813,1
Kepler_1207,Kepler-1207,1754.19,295.064,49.359,,5909,1.06,1.06,0.63789,1
Kepler_1343,Kepler-1343,1756.71,294.294,50.7254,,5759,0.93,0.95,0.19529,1
Kepler_1119,Kepler-1119,1757.23,297.019,44.3275,,6083,1.17,1.11,0.48586,1
OGLE_2012_BLG_0358L,OGLE-2012-BLG-0358L,1760,265.695,-24.261,,5772,1,0.022,0,1
Kepler_728,Kepler-728,1765.23,291.092,45.1155,,5660,0.93,0.95,0.22726,1
Kepler_1486,Kepler-1486,1769.14,290.59,45.4397,,5965,1.12,1.08,0.31179,1
